[2020.04.06 11:57:11:960] EVENT,start thread Logger 32 {32} [4729]
[2020.04.06 11:57:12:832] EVENT,NOTIFICATION_XRSS,STATUS,-1,Register... {34} [4729]
[2020.04.06 11:57:12:832] EVENT,will register 100 [wpmain] {34} [4729]
[2020.04.06 11:57:12:842] EVENT,wideband is enabled because of old check [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:880] EVENT,init tags from: 4g6446283306617609909m to: 5p3489167328897909757h branch: 3k3885076936458450104u [ep: 0 2e4354309789759581837k20685rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:12:881] EVENT, set called a to + [ep: 0 2e4354309789759581837k20685rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:12:881] EVENT, set called b to + [ep: 0 2e4354309789759581837k20685rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:12:881] EVENT,direct call URI parsing is not enabled a + [ep: 0 2e4354309789759581837k20685rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:12:881] EVENT, new endpoint created 2e4354309789759581837k20685rmwp [ep: 0 2e4354309789759581837k20685rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:12:881] EVENT, set called x to + [ep: 0 2e4354309789759581837k20685rmwp Setup 13693] {45} [4729]
[2020.04.06 11:57:12:881] EVENT, set called b to + [ep: 0 2e4354309789759581837k20685rmwp Setup 13693] {45} [4729]
[2020.04.06 11:57:12:881] EVENT,direct call URI parsing is not enabled a + [ep: 0 2e4354309789759581837k20685rmwp Setup 13693] {45} [4729]
[2020.04.06 11:57:12:881] EVENT, set called h to + [ep: 1 2e4354309789759581837k20685rmwp Setup 13693] {45} [4729]
[2020.04.06 11:57:12:881] EVENT,ep call [ep: 1 2e4354309789759581837k20685rmwp Setup 13693] {45} [4729]
[2020.04.06 11:57:12:881] EVENT,create rtp outgoing call early [ep: 1 2e4354309789759581837k20685rmwp Setup 13693] {45} [4729]
[2020.04.06 11:57:12:881] EVENT,creating new socket A {45} [4729]
[2020.04.06 11:57:12:881] EVENT,loading lastrtpportsaved 14294+0 [ep: 1 2e4354309789759581837k20685rmwp Setup 13693] {45} [4729]
[2020.04.06 11:57:12:881] EVENT,udp init [udp localport: 0 since: 0 ok] {45} [4729]
[2020.04.06 11:57:12:881] EVENT,udp bind to port 14294 (audio) [udp localport: 0 since: 0 ok] {45} [4729]
[2020.04.06 11:57:12:882] EVENT, stun request c [udp localport: 14294 since: 0 ok] {45} [4729]
[2020.04.06 11:57:12:882] EVENT, set payload to 8 PCMA (from 8 code: 4) [ep: 1 2e4354309789759581837k20685rmwp Setup 13693] {45} [4729]
[2020.04.06 11:57:12:882] EVENT,start thread TUDP 51 {51} [4729]
[2020.04.06 11:57:12:918] EVENT,udp packet 1 received to audio port 14294 from 148.251.28.180:44446. length is 42 [udp localport: 14294 since: 0 ok] {51} [4729]
[2020.04.06 11:57:12:919] EVENT, rtp stun first answer 176.100.192.174:14294 [udp localport: 14294 since: 0 ok] {51} [4729]
[2020.04.06 11:57:12:919] EVENT,udp packet 2 received to audio port 14294 from 148.251.28.179:44447. length is 42 [udp localport: 14294 since: 0 ok] {51} [4729]
[2020.04.06 11:57:12:920] EVENT, rtp stun public address found as 176.100.192.174:14294 [udp localport: 14294 since: 0 ok] {51} [4729]
[2020.04.06 11:57:12:925] EVENT, set called b to + [ep: 1 2e4354309789759581837k20685rmwp Setup 13693] {45} [4729]
[2020.04.06 11:57:12:927] EVENT,direct call URI parsing is not enabled a + [ep: 1 2e4354309789759581837k20685rmwp Setup 13693] {45} [4729]
[2020.04.06 11:57:12:927] EVENT,cseq set2 to 11324 [ep: 1 2e4354309789759581837k20685rmwp Setup 13693] {45} [4729]
[2020.04.06 11:57:12:928] EVENT,build uri rule 6677 [ep: 1 2e4354309789759581837k20685rmwp Setup 13693] {45} [4729]
[2020.04.06 11:57:12:928] EVENT, build leg rule 16 [ep: 1 2e4354309789759581837k20685rmwp Setup 13693] {45} [4729]
[2020.04.06 11:57:12:928] EVENT, build leg rule 1901a  (x) [ep: 1 2e4354309789759581837k20685rmwp Setup 13693] {45} [4729]
[2020.04.06 11:57:12:929] EVENT, set payload to 8 PCMA (from 8 code: 4) [ep: 1 2e4354309789759581837k20685rmwp Setup 13693] {45} [4729]
[2020.04.06 11:57:12:930] EVENT,sending to p 46.105.182.20 (1194) [ep: 1 2e4354309789759581837k20685rmwp Setup 13693] {45} [4729]
[2020.04.06 11:57:12:931] SEND,  to 46.105.182.20:5060 from port 14292
INVITE sip:+@46.105.182.20 SIP/2.0
Via: SIP/2.0/UDP 176.100.192.174:14292;rport;branch=z9hG4bK-5p3419070052478665272r
From: <sip:JSSIP@46.105.182.20>;tag=4g6446283306617609909m
To: <sip:+@46.105.182.20>
Call-ID: 2e4354309789759581837k20685rmwp
CSeq: 11325 INVITE
Max-Forwards: 70
Contact: <sip:JSSIP@176.100.192.174:14292>
X-UT: j
X-PLine: 1
User-Agent: MizuJVoIP/7.6.19061
X-FinalUA: JVoIP
X-DeviceID: aPBag5AG
X-CDDT: 471692,826886,14294,192.168.55.101,176.100.192.174
Supported: replaces
Allow: ACK,PRACK,BYE,CANCEL,INVITE,UPDATE,MESSAGE,INFO,OPTIONS,SUBSCRIBE,NOTIFY,REFER
Allow-Events: presence,refer,telephone-event,keep-alive,dialog
Accept: application/sdp,application/dtmf-relay,text/plain
Content-Type: application/sdp
Content-Length: 424

v=0
o=JSSIP 538 949 IN IP4 176.100.192.174
s=jvoip
c=IN IP4 176.100.192.174
t=0 0
m=audio 14294 RTP/AVP 111 105 97 0 8 3 101
a=rtpmap:111 opus/48000/2
a=fmtp:111 maxplaybackrate=16000; sprop-maxcapturerate=16000
a=rtpmap:105 speex/16000
a=fmtp:105 mode=8;mode=any
a=rtpmap:0 PCMU/8000
a=rtpmap:8 PCMA/8000
a=rtpmap:97 iLBC/8000
a=fmtp:97 mode=30
a=rtpmap:101 telephone-event/8000
a=fmtp:101 0-16
a=sendrecv
 [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:935] EVENT,switching state from Setup to Routed from 22 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {45} [4729]
[2020.04.06 11:57:12:936] EVENT,NOTIFICATION_XRSS,PRESENCE,+,Open,Speaking {45} [4729]
[2020.04.06 11:57:12:936] EVENT,NOTIFICATION_XRSS,STATUS,1,CallSetup,+,JSSIP,1,+,[2e4354309789759581837k20685rmwp],1,4,1,0,0,0,0,,0,0,0,100, {45} [4729]
[2020.04.06 11:57:12:937] EVENT,check mep call state ex [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:937] EVENT,set deleteat 444 to 120000 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {45} [4729]
[2020.04.06 11:57:12:937] EVENT,call begin maintenance [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {45} [4729]
[2020.04.06 11:57:12:937] EVENT,NOTIFICATION_XRSS,STATUS,1,Routed,+,JSSIP,1,+,[2e4354309789759581837k20685rmwp],1,4,1,0,0,0,0,,0,0,0,100, {45} [4729]
[2020.04.06 11:57:12:937] EVENT,STATUS,1,Routed,+,JSSIP,1,+,[2e4354309789759581837k20685rmwp],1,4,1,0,0,0,0,,0,0,0,100, [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:938] EVENT,exec command 5 line: 1 params:  registerbuttonclick  elapsed 102 [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:938] EVENT,creating reg endpoint because registerbuttonclick [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:939] EVENT,Connecting...
[2020.04.06 11:57:12:939] EVENT,init tags from: 8g3330889867103573264m to: 9p9029117768912880423h branch: 7k7972157265071143259u [ep: 0 6e5339952673226462088k20686rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:12:940] EVENT, set called a to + [ep: 0 6e5339952673226462088k20686rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:12:940] EVENT, set called b to + [ep: 0 6e5339952673226462088k20686rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:12:940] EVENT, new endpoint created 6e5339952673226462088k20686rmwp [ep: 0 6e5339952673226462088k20686rmwp Init 13693] {45} [4729]
[2020.04.06 11:57:12:940] EVENT,reg state change from Not initialized to Working [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:12:944] EVENT,ep send reg msg because registerbuttonclick [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:12:944] EVENT, set called a to + [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:12:944] EVENT, set called b to + [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:12:944] EVENT,cseq set2 to 5543 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:12:944] EVENT,build uri rule 4 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:12:944] EVENT, build leg rule 16 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:12:944] EVENT, build leg rule 18 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:12:944] EVENT,sending to p 46.105.182.20 (684) [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:12:944] SEND,  to 46.105.182.20:5060 from port 14292
REGISTER sip:46.105.182.20 SIP/2.0
Via: SIP/2.0/UDP 176.100.192.174:14292;rport;branch=z9hG4bK-9p5413510604551915321r
From: <sip:JSSIP@46.105.182.20>;tag=8g3330889867103573264m
To: <sip:JSSIP@46.105.182.20>
Call-ID: 6e5339952673226462088k20686rmwp
CSeq: 5544 REGISTER
Max-Forwards: 70
Expires: 120
Contact: <sip:JSSIP@176.100.192.174:14292>
X-UT: j
User-Agent: MizuJVoIP/7.6.19061
X-FinalUA: JVoIP
X-DeviceID: aPBag5AG
Supported: replaces
Allow: ACK,PRACK,BYE,CANCEL,INVITE,UPDATE,MESSAGE,INFO,OPTIONS,SUBSCRIBE,NOTIFY,REFER
Allow-Events: presence,refer,telephone-event,keep-alive,dialog
Accept: application/sdp,application/dtmf-relay,text/plain
Content-Length: 0

 [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:945] EVENT,NOTIFICATION_XRSS,STATUS,0,Registering,+,JSSIP,1,+,[6e5339952673226462088k20686rmwp],1,4,0,0,0,0,0, {45} [4729]
[2020.04.06 11:57:12:945] EVENT,STATUS,0,Registering,+,JSSIP,1,+,[6e5339952673226462088k20686rmwp],1,4,0,0,0,0,0, [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:945] EVENT, check mep call state [mt: 13693] {34} [4729]
[2020.04.06 11:57:12:945] EVENT,rtp recorded: 0, sent: 0, received: 0, playback: 0, transport: 0, idle: false, speaking: false (last ~10 second statistics) [wpmain] {34} [4729]
[2020.04.06 11:57:12:945] EVENT,NOTIFICATION_XRSS,STATUS,-1,Call Initiated {34} [4729]
[2020.04.06 11:57:12:966] EVENT,udp packet 2 received to signaling port 14292 from 46.105.182.20:5060. length is 273 [udp localport: 14292 since: 0 ok] {50} [4729]
[2020.04.06 11:57:12:966] EVENT, udp start rec from 46.105.182.20:5060 (273) [udp localport: 14292 since: 0 ok] {50} [4729]
[2020.04.06 11:57:12:966] REC,46.105.182.20:5060 on port 14292
SIP/2.0 100 Trying
CSeq: 11325 INVITE
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-5p3419070052478665272r
From: <sip:JSSIP@46.105.182.20>;tag=4g6446283306617609909m
Call-ID: 2e4354309789759581837k20685rmwp
To: <sip:+@46.105.182.20>
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:12:966] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:12:966] EVENT,cseq set1 to 11325 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:966] EVENT,set fromtag 1 to: 4g6446283306617609909m [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:966] EVENT,switching state from Routed to InProgress from 10 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:966] EVENT,set deleteat 444 to 120000 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:966] EVENT,udp packet 3 received to signaling port 14292 from 46.105.182.20:5060. length is 409 [udp localport: 14292 since: 0 ok] {50} [4729]
[2020.04.06 11:57:12:966] REC,46.105.182.20:5060 on port 14292
SIP/2.0 407 Proxy Authentication Required
CSeq: 11325 INVITE
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-5p3419070052478665272r
From: <sip:JSSIP@46.105.182.20>;tag=4g6446283306617609909m
Call-ID: 2e4354309789759581837k20685rmwp
To: <sip:+@46.105.182.20>;tag=115739651308729
Proxy-Authenticate: DIGEST realm="VoipSwitch", nonce="26d22eb908b79ec406111109704573914114"
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:12:967] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:12:967] EVENT,cseq set1 to 11325 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:968] EVENT,set totag 1 to: 115739651308729 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:968] EVENT,build uri rule 6677 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:968] EVENT, build leg rule 13 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:968] EVENT, build leg rule 132 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:968] EVENT,sending to p 46.105.182.20 (460) [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:968] SEND,  to 46.105.182.20:5060 from port 14292
ACK sip:+@46.105.182.20 SIP/2.0
Via: SIP/2.0/UDP 176.100.192.174:14292;rport;branch=z9hG4bK-5p3419070052478665272r
From: <sip:JSSIP@46.105.182.20>;tag=4g6446283306617609909m
To: <sip:+@46.105.182.20>;tag=115739651308729
Call-ID: 2e4354309789759581837k20685rmwp
CSeq: 11325 ACK
Max-Forwards: 70
Contact: <sip:JSSIP@176.100.192.174:14292>
X-UT: j
X-PLine: 1
User-Agent: MizuJVoIP/7.6.19061
X-FinalUA: JVoIP
X-DeviceID: aPBag5AG
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:12:968] EVENT,resend last request [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:968] EVENT,build uri rule 6677 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:968] EVENT, build leg rule 16 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:968] EVENT, build leg rule 1901a  (x) [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:968] EVENT,auth after pwd parameterA JSSIP:VoipSwitch:wAXNEBaXDJ eeace1f440ea9c8ea4bb0ba705770da9 sip:+@46.105.182.20 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:968] EVENT, auth params: m1str=eeace1f440ea9c8ea4bb0ba705770da9,auth_nonce=26d22eb908b79ec406111109704573914114,username=JSSIP,auth_realm=VoipSwitch,method=INVITE,uri=sip:+@46.105.182.20 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:968] EVENT, set payload to 8 PCMA (from 8 code: 4) [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:968] EVENT,sending to p 46.105.182.20 (1324) [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:12:969] SEND,  to 46.105.182.20:5060 from port 14292
INVITE sip:+@46.105.182.20 SIP/2.0
Via: SIP/2.0/UDP 176.100.192.174:14292;rport;branch=z9hG4bK-9p3821659128242063264r
From: <sip:JSSIP@46.105.182.20>;tag=4g6446283306617609909m
To: <sip:+@46.105.182.20>
Call-ID: 2e4354309789759581837k20685rmwp
CSeq: 11326 INVITE
Max-Forwards: 70
Proxy-Authorization: Digest username="JSSIP",realm="VoipSwitch",nonce="26d22eb908b79ec406111109704573914114",uri="sip:+@46.105.182.20",response="e84ad4b0469c94e672a4500bbd41790f",algorithm=MD5
Contact: <sip:JSSIP@176.100.192.174:14292>
X-UT: j
X-PLine: 1
User-Agent: MizuJVoIP/7.6.19061
X-FinalUA: JVoIP
X-DeviceID: aPBag5AG
X-CDDT: 471692,826886,14294,192.168.55.101,176.100.192.174
Supported: replaces
Allow: ACK,PRACK,BYE,CANCEL,INVITE,UPDATE,MESSAGE,INFO,OPTIONS,SUBSCRIBE,NOTIFY,REFER
Accept: application/sdp,application/dtmf-relay,text/plain
Content-Type: application/sdp
Content-Length: 424

v=0
o=JSSIP 538 950 IN IP4 176.100.192.174
s=jvoip
c=IN IP4 176.100.192.174
t=0 0
m=audio 14294 RTP/AVP 111 105 97 0 8 3 101
a=rtpmap:111 opus/48000/2
a=fmtp:111 maxplaybackrate=16000; sprop-maxcapturerate=16000
a=rtpmap:105 speex/16000
a=fmtp:105 mode=8;mode=any
a=rtpmap:0 PCMU/8000
a=rtpmap:8 PCMA/8000
a=rtpmap:97 iLBC/8000
a=fmtp:97 mode=30
a=rtpmap:101 telephone-event/8000
a=fmtp:101 0-16
a=sendrecv
 [mt: 13693] {50} [4729]
[2020.04.06 11:57:12:969] EVENT,udp packet 4 received to signaling port 14292 from 46.105.182.20:5060. length is 395 [udp localport: 14292 since: 0 ok] {50} [4729]
[2020.04.06 11:57:12:969] REC,46.105.182.20:5060 on port 14292
SIP/2.0 401 Unauthorised
CSeq: 5544 REGISTER
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-9p5413510604551915321r
From: <sip:JSSIP@46.105.182.20>;tag=8g3330889867103573264m
Call-ID: 6e5339952673226462088k20686rmwp
To: <sip:JSSIP@46.105.182.20>;tag=115739651308729
Content-Length: 0
WWW-Authenticate: DIGEST realm="VoipSwitch", nonce="26d22eb90ecee2a106111109704573914114"

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:12:970] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:12:970] EVENT,cseq set1 to 5544 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:12:970] EVENT,set fromtag 1 to: 8g3330889867103573264m [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:12:970] EVENT,set totag 1 to: 115739651308729 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:12:970] EVENT,resend last request [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:12:970] EVENT,build uri rule 4 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:12:970] EVENT, build leg rule 16 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:12:970] EVENT, build leg rule 18 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:12:970] EVENT,auth after pwd parameterA JSSIP:VoipSwitch:wAXNEBaXDJ eeace1f440ea9c8ea4bb0ba705770da9 sip:46.105.182.20 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:12:970] EVENT, auth params: m1str=eeace1f440ea9c8ea4bb0ba705770da9,auth_nonce=26d22eb90ecee2a106111109704573914114,username=JSSIP,auth_realm=VoipSwitch,method=REGISTER,uri=sip:46.105.182.20 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:12:970] EVENT,sending to p 46.105.182.20 (806) [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:12:971] SEND,  to 46.105.182.20:5060 from port 14292
REGISTER sip:46.105.182.20 SIP/2.0
Via: SIP/2.0/UDP 176.100.192.174:14292;rport;branch=z9hG4bK-9p6372812940603550701r
From: <sip:JSSIP@46.105.182.20>;tag=8g3330889867103573264m
To: <sip:JSSIP@46.105.182.20>
Call-ID: 6e5339952673226462088k20686rmwp
CSeq: 5545 REGISTER
Max-Forwards: 70
Expires: 120
Authorization: Digest username="JSSIP",realm="VoipSwitch",nonce="26d22eb90ecee2a106111109704573914114",uri="sip:46.105.182.20",response="6ecd52734f2458b1b206557bcdd73d80",algorithm=MD5
Contact: <sip:JSSIP@176.100.192.174:14292>
X-UT: j
User-Agent: MizuJVoIP/7.6.19061
X-FinalUA: JVoIP
X-DeviceID: aPBag5AG
Supported: replaces
Allow: ACK,PRACK,BYE,CANCEL,INVITE,UPDATE,MESSAGE,INFO,OPTIONS,SUBSCRIBE,NOTIFY,REFER
Accept: application/sdp,application/dtmf-relay,text/plain
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:12:973] EVENT,NOTIFICATION_XRSS,STATUS,-1,Calling... {36} [4729]
[2020.04.06 11:57:12:988] EVENT,NOTIFICATION_XRSS,STATUS,1,InProgress,+,JSSIP,1,+,[2e4354309789759581837k20685rmwp],1,4,1,0,0,0,0,,0,0,0,100, {45} [4729]
[2020.04.06 11:57:12:988] EVENT,STATUS,1,InProgress,+,JSSIP,1,+,[2e4354309789759581837k20685rmwp],1,4,1,0,0,0,0,,0,0,0,100, [mt: 13693] {45} [4729]
[2020.04.06 11:57:13:002] EVENT,udp packet 5 received to signaling port 14292 from 46.105.182.20:5060. length is 273 [udp localport: 14292 since: 0 ok] {50} [4729]
[2020.04.06 11:57:13:002] REC,46.105.182.20:5060 on port 14292
SIP/2.0 100 Trying
CSeq: 11326 INVITE
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-9p3821659128242063264r
From: <sip:JSSIP@46.105.182.20>;tag=4g6446283306617609909m
Call-ID: 2e4354309789759581837k20685rmwp
To: <sip:+@46.105.182.20>
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:002] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:002] EVENT,cseq set1 to 11326 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:13:002] EVENT,udp packet 6 received to signaling port 14292 from 46.105.182.20:5060. length is 278 [udp localport: 14292 since: 0 ok] {50} [4729]
[2020.04.06 11:57:13:002] REC,46.105.182.20:5060 on port 14292
SIP/2.0 100 Trying
CSeq: 5545 REGISTER
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-9p6372812940603550701r
From: <sip:JSSIP@46.105.182.20>;tag=8g3330889867103573264m
Call-ID: 6e5339952673226462088k20686rmwp
To: <sip:JSSIP@46.105.182.20>
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:002] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:002] EVENT,cseq set1 to 5545 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:13:010] EVENT,udp packet 7 received to signaling port 14292 from 46.105.182.20:5060. length is 361 [udp localport: 14292 since: 0 ok] {50} [4729]
[2020.04.06 11:57:13:010] REC,46.105.182.20:5060 on port 14292
SIP/2.0 200 OK
CSeq: 5545 REGISTER
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-9p6372812940603550701r
From: <sip:JSSIP@46.105.182.20>;tag=8g3330889867103573264m
Call-ID: 6e5339952673226462088k20686rmwp
To: <sip:JSSIP@46.105.182.20>;tag=115739651308776
Contact: <sip:JSSIP@192.168.55.101:14292>;expires=60
Expires: 60
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:010] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:010] EVENT,cseq set1 to 5545 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:13:010] EVENT,set totag 1 to: 115739651308776 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:13:010] EVENT,reg state change from Not initialized to Success [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:13:010] EVENT,reg state changed from [working unknown] to [yes] (Currently registered) {50} [4729]
[2020.04.06 11:57:13:010] EVENT,authenticated successfully 1 2 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:13:011] EVENT,Authenticated successfully.
[2020.04.06 11:57:13:019] EVENT,udp packet 8 received to signaling port 14292 from 46.105.182.20:5060. length is 306 [udp localport: 14292 since: 0 ok] {50} [4729]
[2020.04.06 11:57:13:020] REC,46.105.182.20:5060 on port 14292
SIP/2.0 503 Service Unavailable
CSeq: 11326 INVITE
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-9p3821659128242063264r
From: <sip:JSSIP@46.105.182.20>;tag=4g6446283306617609909m
Call-ID: 2e4354309789759581837k20685rmwp
To: <sip:+@46.105.182.20>;tag=115739651308791
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:020] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:13:020] EVENT,cseq set1 to 11326 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:13:020] EVENT,set totag 1 to: 115739651308791 [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:13:020] WARNING,call rejected: Service Unavailable [ep: 1 2e4354309789759581837k20685rmwp Calling 13693] {50} [4729]
[2020.04.06 11:57:13:020] EVENT,switching state from InProgress to Finishing from 345 [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {50} [4729]
[2020.04.06 11:57:13:020] EVENT,NOTIFICATION_XRSS,PRESENCE,+,Open,Available {50} [4729]
[2020.04.06 11:57:13:020] EVENT,NOTIFICATION_XRSS,STATUS,1,CallDisconnect,+,JSSIP,1,+,[2e4354309789759581837k20685rmwp],1,2,0,0,0,0,0, {50} [4729]
[2020.04.06 11:57:13:020] EVENT, destroy rtp [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {50} [4729]
[2020.04.06 11:57:13:021] EVENT,parking socket A {50} [4729]
[2020.04.06 11:57:13:021] EVENT,set deleteat 444 to 120000 [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {50} [4729]
[2020.04.06 11:57:13:021] EVENT, call details: 
Line: 1 , Direction: outgoing
Local Username: JSSIP , AuthUsername: JSSIP
Peer Username: + , Name: + Called: +
Server: 46.105.182.20  
Connectime: 139 msec
Duration: 0 msec
Disc By: Remote , Reason: Service Unavailable
AEC_SETT: 1, AEC_FULL: 2, AEC_FAST: 1, no, AEC_VOL: 1, AGC: 2, Denoise: 2
Payload: 8 PCMA, pf: 1, network: fast  
CPU: speed: 9000, load: 0.0, reccpuhigh: false, subshigh: 0, highdetected: no, meassured: 0 0, cores: 8, dbg:  

